performer	receiver	pen	nr_meet	nr_interact	nr_bites
F1250_4	F1265_4	1	1281	720	595.217
F1250_4	F1767_4	1	1187	662	541.612
F1250_4	F1975_4	1	1170	532	437.723
F1250_4	F2226_4	1	1394	677	553.758
F1250_4	F2507_4	1	1381	876	717.165
F1250_4	F579_4	1	1283	668	548.64
F1250_4	M1017_4	1	1418	677	552.762
F1250_4	M1301_4	1	1258	406	332.914
F1250_4	M1533_4	1	1270	664	546.594
F1250_4	M2177_4	1	1278	732	602.297
F1250_4	M2347_4	1	1177	828	678.356
F1250_4	M270_4	1	1301	668	548.663
F1250_4	M597_4	1	1364	908	746.953
F1265_4	F1250_4	1	1281	758	496.607
F1265_4	F1767_4	1	1242	475	312.507
F1265_4	F1975_4	1	1205	374	247.118
F1265_4	F2226_4	1	1330	393	261.836
F1265_4	F2507_4	1	1298	600	395.184
F1265_4	F579_4	1	1269	440	289.946
F1265_4	M1017_4	1	1325	381	252.92
F1265_4	M1301_4	1	1276	234	153.328
F1265_4	M1533_4	1	1255	414	274.603
F1265_4	M2177_4	1	1138	462	305.974
F1265_4	M2347_4	1	1290	713	470.284
F1265_4	M270_4	1	1208	387	254.427
F1265_4	M597_4	1	1169	598	392.866
F1767_4	F1250_4	1	1187	950	1373.51
F1767_4	F1265_4	1	1242	801	1155.05
F1767_4	F1975_4	1	1252	665	949.121
F1767_4	F2226_4	1	1266	733	1056.86
F1767_4	F2507_4	1	1121	791	1139.06
F1767_4	F579_4	1	1188	715	1028.58
F1767_4	M1017_4	1	1291	722	1039.04
F1767_4	M1301_4	1	1215	475	682.471
F1767_4	M1533_4	1	1132	702	1011.65
F1767_4	M2177_4	1	1253	854	1229.55
F1767_4	M2347_4	1	1325	1049	1499.58
F1767_4	M270_4	1	1254	757	1087.72
F1767_4	M597_4	1	1241	944	1357.16
F1975_4	F1250_4	1	1170	647	871.674
F1975_4	F1265_4	1	1205	445	600.187
F1975_4	F1767_4	1	1252	428	573.798
F1975_4	F2226_4	1	1253	368	492.496
F1975_4	F2507_4	1	1266	573	771.357
F1975_4	F579_4	1	1328	428	573.897
F1975_4	M1017_4	1	1311	349	470.423
F1975_4	M1301_4	1	1334	253	339.693
F1975_4	M1533_4	1	1200	385	519.976
F1975_4	M2177_4	1	1276	496	661.839
F1975_4	M2347_4	1	1260	641	866.869
F1975_4	M270_4	1	1257	386	520.763
F1975_4	M597_4	1	1309	654	882.244
F2226_4	F1250_4	1	1394	932	1686.23
F2226_4	F1265_4	1	1330	651	1179.09
F2226_4	F1767_4	1	1266	598	1082.08
F2226_4	F1975_4	1	1253	508	919.378
F2226_4	F2507_4	1	1144	656	1186.07
F2226_4	F579_4	1	1278	565	1020.56
F2226_4	M1017_4	1	1240	447	804.166
F2226_4	M1301_4	1	1210	337	610.292
F2226_4	M1533_4	1	1417	695	1258.19
F2226_4	M2177_4	1	1304	710	1279.19
F2226_4	M2347_4	1	1278	835	1504.57
F2226_4	M270_4	1	1255	547	996.366
F2226_4	M597_4	1	1361	856	1553.75
F2507_4	F1250_4	1	1381	1096	943.471
F2507_4	F1265_4	1	1298	841	725.452
F2507_4	F1767_4	1	1121	706	610.477
F2507_4	F1975_4	1	1266	709	605.689
F2507_4	F2226_4	1	1144	673	580.134
F2507_4	F579_4	1	1176	713	616.036
F2507_4	M1017_4	1	1226	665	569.223
F2507_4	M1301_4	1	1256	520	447.441
F2507_4	M1533_4	1	1313	802	688.581
F2507_4	M2177_4	1	1228	857	740.805
F2507_4	M2347_4	1	1112	867	748.926
F2507_4	M270_4	1	1297	788	675.987
F2507_4	M597_4	1	1257	964	827.613
F579_4	F1250_4	1	1283	719	607.304
F579_4	F1265_4	1	1269	470	397.703
F579_4	F1767_4	1	1188	439	372.273
F579_4	F1975_4	1	1328	361	305.641
F579_4	F2226_4	1	1278	373	316.043
F579_4	F2507_4	1	1176	531	447.353
F579_4	M1017_4	1	1256	341	289.273
F579_4	M1301_4	1	1349	224	189.313
F579_4	M1533_4	1	1193	373	317.214
F579_4	M2177_4	1	1193	495	421.506
F579_4	M2347_4	1	1147	604	512.969
F579_4	M270_4	1	1139	337	282.947
F579_4	M597_4	1	1163	536	454.497
M1017_4	F1250_4	1	1418	941	2045.2
M1017_4	F1265_4	1	1325	675	1458.73
M1017_4	F1767_4	1	1291	639	1387.24
M1017_4	F1975_4	1	1311	544	1183.51
M1017_4	F2226_4	1	1240	534	1160.25
M1017_4	F2507_4	1	1226	719	1554.02
M1017_4	F579_4	1	1256	562	1219.37
M1017_4	M1301_4	1	1191	327	714.054
M1017_4	M1533_4	1	1148	571	1237.88
M1017_4	M2177_4	1	1273	699	1513.17
M1017_4	M2347_4	1	1191	780	1698.84
M1017_4	M270_4	1	1213	555	1208.15
M1017_4	M597_4	1	1253	792	1723.17
M1301_4	F1250_4	1	1258	852	785.428
M1301_4	F1265_4	1	1276	632	583.851
M1301_4	F1767_4	1	1215	561	515.394
M1301_4	F1975_4	1	1334	533	491.192
M1301_4	F2226_4	1	1210	519	476.105
M1301_4	F2507_4	1	1256	699	639.514
M1301_4	F579_4	1	1349	615	565.027
M1301_4	M1017_4	1	1191	469	430.729
M1301_4	M1533_4	1	1231	528	484.477
M1301_4	M2177_4	1	1250	655	600.046
M1301_4	M2347_4	1	1222	794	729.644
M1301_4	M270_4	1	1312	571	521.032
M1301_4	M597_4	1	1329	809	745.425
M1533_4	F1250_4	1	1270	750	1026.52
M1533_4	F1265_4	1	1255	517	708.81
M1533_4	F1767_4	1	1132	457	619.98
M1533_4	F1975_4	1	1200	374	510.462
M1533_4	F2226_4	1	1417	477	651.727
M1533_4	F2507_4	1	1313	628	859.539
M1533_4	F579_4	1	1193	446	610.01
M1533_4	M1017_4	1	1148	332	453.968
M1533_4	M1301_4	1	1231	254	348.226
M1533_4	M2177_4	1	1373	622	855.173
M1533_4	M2347_4	1	1395	761	1037.29
M1533_4	M270_4	1	1352	487	667.147
M1533_4	M597_4	1	1295	660	904.003
M2177_4	F1250_4	1	1278	700	1660.73
M2177_4	F1265_4	1	1138	440	1026.14
M2177_4	F1767_4	1	1253	462	1088.32
M2177_4	F1975_4	1	1276	342	812.547
M2177_4	F2226_4	1	1304	402	952.28
M2177_4	F2507_4	1	1228	526	1232.3
M2177_4	F579_4	1	1193	420	985.497
M2177_4	M1017_4	1	1273	376	888.032
M2177_4	M1301_4	1	1250	216	503.822
M2177_4	M1533_4	1	1373	481	1137.97
M2177_4	M2347_4	1	1345	719	1692.17
M2177_4	M270_4	1	1184	379	888.317
M2177_4	M597_4	1	1140	567	1324.03
M2347_4	F1250_4	1	1177	664	911.159
M2347_4	F1265_4	1	1290	482	665.306
M2347_4	F1767_4	1	1325	494	684.286
M2347_4	F1975_4	1	1260	386	531.938
M2347_4	F2226_4	1	1278	390	538.353
M2347_4	F2507_4	1	1112	525	726.596
M2347_4	F579_4	1	1147	369	508.174
M2347_4	M1017_4	1	1191	350	479.619
M2347_4	M1301_4	1	1222	233	323.022
M2347_4	M1533_4	1	1395	476	653.855
M2347_4	M2177_4	1	1345	570	786.057
M2347_4	M270_4	1	1237	442	607.327
M2347_4	M597_4	1	1248	641	890.258
M270_4	F1250_4	1	1301	841	764.879
M270_4	F1265_4	1	1208	591	537.911
M270_4	F1767_4	1	1254	602	546.762
M270_4	F1975_4	1	1257	500	456.108
M270_4	F2226_4	1	1255	506	461.378
M270_4	F2507_4	1	1297	747	682.189
