performer	receiver	pen	nr_meet	nr_interact	nr_bites
F1250_4	F1265_4	1	1281	720	589.19
F1250_4	F1767_4	1	1187	662	541.727
F1250_4	F1975_4	1	1170	532	435.346
F1250_4	F2226_4	1	1394	677	554.002
F1250_4	F2507_4	1	1381	876	716.848
F1250_4	F579_4	1	1283	668	546.637
F1250_4	M1017_4	1	1418	677	554.002
F1250_4	M1301_4	1	1258	406	332.238
F1250_4	M1533_4	1	1270	664	543.364
F1250_4	M2177_4	1	1278	732	599.01
F1250_4	M2347_4	1	1177	828	677.568
F1250_4	M270_4	1	1301	668	546.637
F1250_4	M597_4	1	1364	908	743.034
F1265_4	F1250_4	1	1281	758	497.14
F1265_4	F1767_4	1	1242	475	311.533
F1265_4	F1975_4	1	1205	374	245.291
F1265_4	F2226_4	1	1330	393	257.752
F1265_4	F2507_4	1	1298	600	393.515
F1265_4	F579_4	1	1269	440	288.578
F1265_4	M1017_4	1	1325	381	249.882
F1265_4	M1301_4	1	1276	234	153.471
F1265_4	M1533_4	1	1255	414	271.525
F1265_4	M2177_4	1	1138	462	303.006
F1265_4	M2347_4	1	1290	713	467.627
F1265_4	M270_4	1	1208	387	253.817
F1265_4	M597_4	1	1169	598	392.203
F1767_4	F1250_4	1	1187	950	1360.28
F1767_4	F1265_4	1	1242	801	1146.93
F1767_4	F1975_4	1	1252	665	952.195
F1767_4	F2226_4	1	1266	733	1049.56
F1767_4	F2507_4	1	1121	791	1132.61
F1767_4	F579_4	1	1188	715	1023.79
F1767_4	M1017_4	1	1291	722	1033.81
F1767_4	M1301_4	1	1215	475	680.14
F1767_4	M1533_4	1	1132	702	1005.17
F1767_4	M2177_4	1	1253	854	1222.82
F1767_4	M2347_4	1	1325	1049	1502.03
F1767_4	M270_4	1	1254	757	1083.93
F1767_4	M597_4	1	1241	944	1351.69
F1975_4	F1250_4	1	1170	647	868.372
F1975_4	F1265_4	1	1205	445	597.257
F1975_4	F1767_4	1	1252	428	574.441
F1975_4	F2226_4	1	1253	368	493.912
F1975_4	F2507_4	1	1266	573	769.053
F1975_4	F579_4	1	1328	428	574.441
F1975_4	M1017_4	1	1311	349	468.411
F1975_4	M1301_4	1	1334	253	339.564
F1975_4	M1533_4	1	1200	385	516.728
F1975_4	M2177_4	1	1276	496	665.707
F1975_4	M2347_4	1	1260	641	860.319
F1975_4	M270_4	1	1257	386	518.07
F1975_4	M597_4	1	1309	654	877.767
F2226_4	F1250_4	1	1394	932	1678.93
F2226_4	F1265_4	1	1330	651	1172.73
F2226_4	F1767_4	1	1266	598	1077.25
F2226_4	F1975_4	1	1253	508	915.125
F2226_4	F2507_4	1	1144	656	1181.74
F2226_4	F579_4	1	1278	565	1017.81
F2226_4	M1017_4	1	1240	447	805.238
F2226_4	M1301_4	1	1210	337	607.081
F2226_4	M1533_4	1	1417	695	1251.99
F2226_4	M2177_4	1	1304	710	1279.01
F2226_4	M2347_4	1	1278	835	1504.19
F2226_4	M270_4	1	1255	547	985.38
F2226_4	M597_4	1	1361	856	1542.02
F2507_4	F1250_4	1	1381	1096	939.347
F2507_4	F1265_4	1	1298	841	720.795
F2507_4	F1767_4	1	1121	706	605.09
F2507_4	F1975_4	1	1266	709	607.662
F2507_4	F2226_4	1	1144	673	576.807
F2507_4	F579_4	1	1176	713	611.09
F2507_4	M1017_4	1	1226	665	569.951
F2507_4	M1301_4	1	1256	520	445.676
F2507_4	M1533_4	1	1313	802	687.369
F2507_4	M2177_4	1	1228	857	734.508
F2507_4	M2347_4	1	1112	867	743.078
F2507_4	M270_4	1	1297	788	675.37
F2507_4	M597_4	1	1257	964	826.214
F579_4	F1250_4	1	1283	719	606.433
F579_4	F1265_4	1	1269	470	396.417
F579_4	F1767_4	1	1188	439	370.27
F579_4	F1975_4	1	1328	361	304.482
F579_4	F2226_4	1	1278	373	314.603
F579_4	F2507_4	1	1176	531	447.867
F579_4	M1017_4	1	1256	341	287.613
F579_4	M1301_4	1	1349	224	188.931
F579_4	M1533_4	1	1193	373	314.603
F579_4	M2177_4	1	1193	495	417.503
F579_4	M2347_4	1	1147	604	509.438
F579_4	M270_4	1	1139	337	284.239
F579_4	M597_4	1	1163	536	452.084
M1017_4	F1250_4	1	1418	941	2033.4
M1017_4	F1265_4	1	1325	675	1458.6
M1017_4	F1767_4	1	1291	639	1380.81
M1017_4	F1975_4	1	1311	544	1175.53
M1017_4	F2226_4	1	1240	534	1153.92
M1017_4	F2507_4	1	1226	719	1553.68
M1017_4	F579_4	1	1256	562	1214.42
M1017_4	M1301_4	1	1191	327	706.612
M1017_4	M1533_4	1	1148	571	1233.87
M1017_4	M2177_4	1	1273	699	1510.46
M1017_4	M2347_4	1	1191	780	1685.5
M1017_4	M270_4	1	1213	555	1199.3
M1017_4	M597_4	1	1253	792	1711.43
M1301_4	F1250_4	1	1258	852	778.476
M1301_4	F1265_4	1	1276	632	577.461
M1301_4	F1767_4	1	1215	561	512.588
M1301_4	F1975_4	1	1334	533	487.005
M1301_4	F2226_4	1	1210	519	474.213
M1301_4	F2507_4	1	1256	699	638.679
M1301_4	F579_4	1	1349	615	561.928
M1301_4	M1017_4	1	1191	469	428.527
M1301_4	M1533_4	1	1231	528	482.436
M1301_4	M2177_4	1	1250	655	598.476
M1301_4	M2347_4	1	1222	794	725.481
M1301_4	M270_4	1	1312	571	521.725
M1301_4	M597_4	1	1329	809	739.187
M1533_4	F1250_4	1	1270	750	1018.06
M1533_4	F1265_4	1	1255	517	701.781
M1533_4	F1767_4	1	1132	457	620.336
M1533_4	F1975_4	1	1200	374	507.671
M1533_4	F2226_4	1	1417	477	647.485
M1533_4	F2507_4	1	1313	628	852.453
M1533_4	F579_4	1	1193	446	605.405
M1533_4	M1017_4	1	1148	332	450.66
M1533_4	M1301_4	1	1231	254	344.782
M1533_4	M2177_4	1	1373	622	844.309
M1533_4	M2347_4	1	1395	761	1032.99
M1533_4	M270_4	1	1352	487	661.059
M1533_4	M597_4	1	1295	660	895.891
M2177_4	F1250_4	1	1278	700	1640.02
M2177_4	F1265_4	1	1138	440	1030.87
M2177_4	F1767_4	1	1253	462	1082.41
M2177_4	F1975_4	1	1276	342	801.267
M2177_4	F2226_4	1	1304	402	941.841
M2177_4	F2507_4	1	1228	526	1232.36
M2177_4	F579_4	1	1193	420	984.013
M2177_4	M1017_4	1	1273	376	880.926
M2177_4	M1301_4	1	1250	216	506.064
M2177_4	M1533_4	1	1373	481	1126.93
M2177_4	M2347_4	1	1345	719	1684.54
M2177_4	M270_4	1	1184	379	887.954
